0,13,0,
1,32,1,
2,19,0,
3,16,0,
4,47,17,
5,11,0,
6,35,5,
7,9,0,
8,20,0,
9,21,7,
10,31,2,
11,24,0,
12,47,14,
13,30,6,
14,40,3,
15,18,0,
16,14,0,
17,22,5,
18,12,0,
19,30,0,
20,8,0,
21,14,0,
22,40,7,
23,39,8,
24,9,0,
25,22,0,
26,32,1,
27,34,15,
28,19,1,
29,39,7,
30,13,0,
31,28,6,
32,35,6,
33,13,0,
34,22,0,
35,38,8,
36,20,0,
37,32,0,
38,13,0,
39,32,1,
40,13,0,
41,23,1,
42,16,0,
43,41,22,
44,35,6,
45,16,2,
46,28,0,
47,45,12,
48,34,3,
49,30,8,
50,16,1,
51,56,18,
52,13,0,
53,29,5,
54,20,5,
55,17,0,
56,31,1,
57,19,1,
58,19,0,
59,10,0,
60,21,0,
61,26,0,
62,38,12,
63,24,2,
64,38,2,
65,11,0,
66,10,0,
67,22,0,
68,16,1,
69,37,16,
70,19,0,
71,7,0,
72,33,1,
73,23,0,
74,21,0,
75,54,18,
76,14,0,
77,18,0,
78,29,2,
79,32,11,
80,25,0,
81,19,1,
82,29,1,
83,18,1,
,,,
,24.85714286,3.25,0.130747126
